ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Beat,District
11831926,JC437417,09/04/2019 02:36:00 PM,010XX N STATE ST,0810,THEFT,OVER $500,RESIDENCE,1824,018
11825044,JC429122,09/10/2019 05:00:00 PM,005XX W MADISON ST,0810,THEFT,OVER $500,OTHER RAILROAD PROP / TRAIN DEPOT,0121,001
11830745,JC435976,09/10/2019 12:40:00 PM,026XX W 24TH ST,0820,THEFT,$500 AND UNDER,APARTMENT,1034,010
11829506,JC434783,07/09/2019 03:15:00 PM,020XX W NORWOOD ST,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,,2413,024
11822683,JC426699,09/09/2019 12:45:00 PM,019XX W BELMONT AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENTIAL YARD (FRONT/BACK),1922,019
11829510,JC434577,08/18/2019 08:00:00 PM,094XX S Ewing Ave,0810,THEFT,OVER $500,RESTAURANT,0432,004
11823877,JC427762,09/09/2019 09:00:00 PM,017XX W BELLE PLAINE AVE,0820,THEFT,$500 AND UNDER,STREET,1912,019
11825045,JC429143,09/09/2019 10:00:00 AM,012XX W PRATT BLVD,0890,THEFT,FROM BUILDING,APARTMENT,2431,024
11822685,JC426280,09/08/2019 02:25:00 AM,009XX W BELMONT AVE,0810,THEFT,OVER $500,CTA TRAIN,1933,019
11822777,JC426701,09/08/2019 05:00:00 AM,020XX W ARTHUR AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,2412,024
11823883,JC427948,09/08/2019 09:55:00 PM,003XX N MICHIGAN AVE,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,RESTAURANT,0111,001
11826193,JC430673,09/07/2019 10:00:00 PM,023XX N Hamilton AVE,0810,THEFT,OVER $500,STREET,1432,014
11822714,JC426435,09/07/2019 11:00:00 PM,005XX N WELLS ST,0890,THEFT,FROM BUILDING,BAR OR TAVERN,1831,018
11822767,JC426248,09/06/2019 11:00:00 AM,020XX N KEDZIE AVE,0810,THEFT,OVER $500,RESIDENCE PORCH/HALLWAY,1413,014
11823875,JC427748,09/06/2019 07:00:00 PM,013XX W BARRY AVE,0820,THEFT,$500 AND UNDER,RESIDENTIAL YARD (FRONT/BACK),1933,019
11826178,JC430620,07/10/2019 12:00:00 AM,001XX N Michigan Ave,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,,0114,001
11822702,JC426339,09/05/2019 11:00:00 PM,026XX N MILWAUKEE AVE,0820,THEFT,$500 AND UNDER,MOVIE HOUSE/THEATER,1412,014
11822717,JC426508,09/05/2019 10:15:00 AM,003XX E BENTON PL,0890,THEFT,FROM BUILDING,OTHER,0114,001
11822681,JC426676,09/05/2019 10:10:00 AM,003XX E BENTON PL,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,OTHER,0114,001
11822724,JC426223,09/05/2019 09:50:00 PM,007XX N Noble St,0810,THEFT,OVER $500,RESIDENTIAL YARD (FRONT/BACK),1215,012
11822748,JC426217,09/05/2019 08:00:00 AM,017XX W LE MOYNE ST,0890,THEFT,FROM BUILDING,RESIDENCE-GARAGE,1433,014
11818115,JC420978,09/05/2019 01:54:00 AM,0000X W IDA B WELLS DR,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,GAS STATION,0111,001
11818631,JC421425,09/05/2019 12:00:00 PM,009XX W WINONA ST,0820,THEFT,$500 AND UNDER,APARTMENT,2024,020
11818632,JC421402,09/05/2019 09:00:00 AM,016XX W BLACKHAWK ST,0820,THEFT,$500 AND UNDER,RESIDENCE PORCH/HALLWAY,1433,014
11817587,JC420410,09/04/2019 12:05:00 PM,061XX W LAWRENCE AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,,1622,016
11817600,JC420357,09/04/2019 08:45:00 AM,014XX W WINNEMAC AVE,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,OTHER,2033,020
11818626,JC421474,09/03/2019 08:00:00 AM,031XX W Palmer Blvd,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,,1414,014
11822686,JC426316,08/31/2019 06:00:00 PM,005XX N State St,0820,THEFT,$500 AND UNDER,RESIDENCE,1831,018
11822709,JC426231,08/03/2019 08:30:00 PM,006XX W HUBBARD ST,0810,THEFT,OVER $500,STREET,1214,012
11822744,JC426612,01/25/2019 02:15:00 PM,046XX W NORTH AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,,2533,025
11822668,JC426219,06/12/2019 04:40:00 PM,087XX W Higgins Rd,0810,THEFT,OVER $500,AIRPORT PARKING LOT,1614,016
11816411,JC418789,09/02/2019 03:40:00 PM,028XX W LAKE ST,0810,THEFT,OVER $500,CTA TRAIN,1222,012
11767197,JC360031,07/22/2019 03:00:00 AM,007XX W 17TH PL,1020,ARSON,BY FIRE,RESIDENCE,1235,012
11820086,JC416854,09/02/2019 06:58:00 AM,066XX S HOMAN AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,0831,008
11816423,JC418763,09/01/2019 03:29:00 PM,075XX S Stony Island Ave,0890,THEFT,FROM BUILDING,DEPARTMENT STORE,0411,004
11815672,JC416254,09/01/2019 02:00:00 AM,045XX S LAPORTE AVE,1360,CRIMINAL TRESPASS,TO VEHICLE,STREET,0814,008
11814246,JC416311,09/01/2019 07:00:00 AM,034XX W DIVERSEY AVE,0890,THEFT,FROM BUILDING,OTHER,1412,014
11815106,JC416583,08/31/2019 12:00:00 PM,003XX N PEORIA,0810,THEFT,OVER $500,STREET,1214,012
11813289,JC415080,08/31/2019 03:41:00 PM,003XX N PEORIA,0810,THEFT,OVER $500,PARKING LOT/GARAGE(NON.RESID.),1214,012
11818629,JC421456,08/29/2019 10:23:00 PM,042XX N Monticello Ave,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,OTHER,1723,017
11813250,JC414599,08/30/2019 07:30:00 PM,005XX N MICHIGAN AVE,0870,THEFT,POCKET-PICKING,SIDEWALK,1834,018
11814239,JC416287,08/30/2019 01:30:00 PM,021XX W CONCORD PL,0820,THEFT,$500 AND UNDER,GROCERY FOOD STORE,1434,014
11817567,JC420421,08/25/2019 11:05:00 AM,013XX W Carmen Ave,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,SIDEWALK,2033,020
11813244,JC414522,08/29/2019 09:35:00 PM,001XX N MORGAN ST,0890,THEFT,FROM BUILDING,RESTAURANT,1224,012
11813254,JC414590,08/29/2019 06:04:00 PM,038XX W 56TH PL,0810,THEFT,OVER $500,RESIDENCE,0822,008
11814251,JC416265,08/28/2019 10:30:00 PM,049XX N LINCOLN AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,2031,020
11812127,JC412977,08/28/2019 10:35:00 PM,004XX W ST JAMES PL,0820,THEFT,$500 AND UNDER,RESIDENCE PORCH/HALLWAY,1935,019
11761489,JC353025,07/16/2019 01:20:00 PM,009XX W Carmen AVe,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,OTHER,2024,020
11808694,JC409157,08/27/2019 08:50:00 AM,002XX E PEARSON ST,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,APARTMENT,1833,018
11810995,JC412256,08/27/2019 06:55:00 PM,012XX N CLYBOURN AVE,0870,THEFT,POCKET-PICKING,STREET,1821,018
11813258,JC414549,08/27/2019 03:30:00 PM,033XX W BEACH AVE,0820,THEFT,$500 AND UNDER,VEHICLE - DELIVERY TRUCK,1422,014
11807503,JC408353,08/26/2019 05:00:00 PM,079XX S CALIFORNIA AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,,0835,008
11812126,JC412976,08/26/2019 07:40:00 AM,062XX N WAYNE AVE,0890,THEFT,FROM BUILDING,APARTMENT,2433,024
11813263,JC414582,08/12/2019 09:00:00 AM,028XX W CULLERTON ST,0820,THEFT,$500 AND UNDER,RESIDENTIAL YARD (FRONT/BACK),1023,010
11808671,JC409717,08/25/2019 09:17:00 PM,032XX S CANAL ST,0820,THEFT,$500 AND UNDER,RESIDENTIAL YARD (FRONT/BACK),0915,009
11813257,JC414546,08/24/2019 07:45:00 PM,035XX N CLARK ST,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,BAR OR TAVERN,1924,019
11810982,JC411618,08/24/2019 12:40:00 AM,033XX W PERSHING RD,0820,THEFT,$500 AND UNDER,RESIDENTIAL YARD (FRONT/BACK),0911,009
11805320,JC405544,08/24/2019 01:00:00 PM,026XX W CORTEZ ST,0820,THEFT,$500 AND UNDER,RESIDENTIAL YARD (FRONT/BACK),1211,012
11805215,JC405658,08/24/2019 04:40:00 PM,009XX W EASTMAN ST,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,1822,018
11806418,JC406825,08/23/2019 11:00:00 AM,060XX N RIDGE AVE,0820,THEFT,$500 AND UNDER,STREET,2433,024
11810984,JC412271,07/16/2019 06:00:00 PM,023XX W 103RD ST,0820,THEFT,$500 AND UNDER,DRUG STORE,2212,022
11800982,JC399675,08/11/2019 02:00:00 PM,018XX S CALUMET AVE,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,PARKING LOT/GARAGE(NON.RESID.),0132,001
11804330,JC404032,08/22/2019 04:03:00 PM,067XX S CALIFORNIA AVE,0820,THEFT,$500 AND UNDER,RESIDENCE,0831,008
11809811,JC410233,07/07/2019 10:30:00 PM,0000X E 47TH ST,0820,THEFT,$500 AND UNDER,RESIDENCE PORCH/HALLWAY,0215,002
11809826,JC410242,08/22/2019 02:05:00 PM,001XX N STATE ST,0870,THEFT,POCKET-PICKING,CTA TRAIN,0111,001
11809819,JC410230,08/22/2019 03:49:00 PM,032XX W LELAND AVE,0890,THEFT,FROM BUILDING,RESIDENCE PORCH/HALLWAY,1713,017
11805316,JC405524,08/22/2019 10:00:00 PM,020XX W NORTH AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,RESIDENTIAL YARD (FRONT/BACK),1424,014
11805318,JC405523,08/21/2019 11:00:00 PM,020XX W NORTH AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,RESIDENTIAL YARD (FRONT/BACK),1424,014
11803154,JC402258,08/21/2019 07:20:00 PM,009XX W WAYMAN ST,0810,THEFT,OVER $500,STREET,1214,012
11807516,JC408192,08/15/2019 03:00:00 PM,027XX W DEVON AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,BANK,2412,024
11806416,JC406831,08/20/2019 05:00:00 PM,056XX N MAPLEWOOD AVE,0820,THEFT,$500 AND UNDER,VEHICLE NON-COMMERCIAL,2011,020
11802169,JC401568,08/20/2019 10:35:00 PM,104XX S CHURCH ST,0810,THEFT,OVER $500,STREET,2212,022
11802157,JC401919,08/20/2019 08:00:00 PM,053XX N MOBILE AVE,0820,THEFT,$500 AND UNDER,STREET,1622,016
11800997,JC399940,08/19/2019 07:45:00 PM,005XX W Arlington Pl,0810,THEFT,OVER $500,APARTMENT,1935,019
11799855,JC399095,08/19/2019 12:30:00 AM,014XX W LUNT AVE,1305,CRIMINAL DAMAGE,CRIMINAL DEFACEMENT,OTHER,2423,024
11799873,JC399093,08/19/2019 12:30:00 AM,070XX N GLENWOOD AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,VACANT LOT/LAND,2423,024
11800999,JC399787,08/19/2019 11:30:00 AM,022XX N SHEFFIELD AVE,0820,THEFT,$500 AND UNDER,COLLEGE/UNIVERSITY GROUNDS,1811,018
11799860,JC398995,08/19/2019 02:07:00 AM,001XX N WACKER DR,0810,THEFT,OVER $500,CONSTRUCTION SITE,0122,001
11805324,JC405584,06/25/2019 05:00:00 PM,082XX S WOOD ST,0810,THEFT,OVER $500,RESIDENCE PORCH/HALLWAY,0614,006
11799840,JC399085,08/18/2019 12:19:00 AM,013XX W MORSE AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,2431,024
11800993,JC400399,08/17/2019 12:00:00 PM,008XX W LELAND AVE,0820,THEFT,$500 AND UNDER,SIDEWALK,1914,019
11797692,JC396352,08/16/2019 01:08:00 PM,022XX W WABANSIA AVE,0820,THEFT,$500 AND UNDER,APARTMENT,1434,014
11799854,JC399037,08/16/2019 10:00:00 PM,020XX W CHICAGO AVE,0890,THEFT,FROM BUILDING,APARTMENT,1212,012
11796723,JC393570,08/15/2019 12:35:00 PM,0000X E IDA B WELLS DR,0810,THEFT,OVER $500,ALLEY,0121,001
11802171,JC400984,08/07/2019 08:00:00 PM,046XX N RAVENSWOOD AVE,0890,THEFT,FROM BUILDING,RESIDENCE-GARAGE,1912,019
11800983,JC399929,07/20/2019 08:55:00 AM,0000X W MADISON ST,0890,THEFT,FROM BUILDING,COMMERCIAL / BUSINESS OFFICE,0112,001
11795588,JC393539,08/14/2019 10:45:00 PM,006XX W HARRISON ST,0810,THEFT,OVER $500,OTHER COMMERCIAL TRANSPORTATION,0124,001
11795593,JC393518,08/14/2019 02:30:00 PM,010XX N KINGSBURY ST,0820,THEFT,$500 AND UNDER,RESIDENCE PORCH/HALLWAY,1822,018
11795578,JC393150,08/14/2019 08:00:00 PM,010XX N CLARK ST,0810,THEFT,OVER $500,STREET,1824,018
11800986,JC400426,08/12/2019 02:09:00 PM,016XX W Estes Ave,0820,THEFT,$500 AND UNDER,RESIDENCE PORCH/HALLWAY,2423,024
11795602,JC393994,08/14/2019 05:10:00 PM,020XX W DIVISION ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,1424,014
11799866,JC399000,08/10/2019 04:30:00 PM,0000X W C1 ST,0810,THEFT,OVER $500,AIRPORT TRANSPORTATION SYSTEM (ATS),1651,016
11799862,JC399123,08/02/2019 12:00:00 PM,017XX N PAULINA ST,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,,1433,014
11799867,JC399074,08/12/2019 12:55:00 AM,067XX N TALMAN AVE,1360,CRIMINAL TRESPASS,TO VEHICLE,STREET,2412,024
11793214,JC391014,08/12/2019 01:10:00 PM,0000X S RIVERSIDE PLZ,0870,THEFT,POCKET-PICKING,OTHER,0121,001
11790294,JC387717,08/11/2019 05:00:00 AM,009XX N CHRISTIANA AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,OTHER,1121,011
11797690,JC396332,08/02/2019 06:25:00 PM,057XX N KENMORE AVE,0890,THEFT,FROM BUILDING,RESIDENCE PORCH/HALLWAY,2022,020
11792137,JC388945,08/11/2019 06:01:00 PM,001XX W RANDOLPH ST,0870,THEFT,POCKET-PICKING,CTA PLATFORM,0122,001
11792133,JC389344,08/10/2019 06:00:00 PM,033XX N HALSTED ST,0870,THEFT,POCKET-PICKING,STREET,1925,019
11796660,JC394490,08/06/2019 04:23:00 PM,048XX N CLAREMONT AVE,0820,THEFT,$500 AND UNDER,RESIDENCE PORCH/HALLWAY,2031,020
11794441,JC392520,08/09/2019 04:10:00 AM,023XX N WAYNE AVE,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,RESIDENCE,1811,018
11790914,JC388012,08/09/2019 02:35:00 PM,051XX S HARPER AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,,0234,002
11790905,JC388056,08/09/2019 12:37:00 PM,006XX W Barry Ave,0890,THEFT,FROM BUILDING,APARTMENT,1934,019
11794417,JC391907,08/02/2019 05:20:00 PM,070XX N Ashland Blvd,0820,THEFT,$500 AND UNDER,APARTMENT,2423,024
11794393,JC392549,06/26/2019 06:50:00 PM,017XX W ROSCOE ST,1320,CRIMINAL DAMAGE,TO VEHICLE,ALLEY,1922,019
11794395,JC391640,07/29/2019 08:30:00 PM,035XX W MC LEAN AVE,0820,THEFT,$500 AND UNDER,APARTMENT,1413,014
11789877,JC386616,08/08/2019 05:00:00 PM,051XX N CALIFORNIA AVE,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,HOSPITAL BUILDING/GROUNDS,2031,020
11787315,JC384117,08/08/2019 03:00:00 PM,0000X W IDA B WELLS DR,1330,CRIMINAL TRESPASS,TO LAND,GAS STATION,0111,001
11794425,JC392497,07/17/2019 12:00:00 PM,005XX W EUGENIE ST,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,1813,018
11794413,JC392543,07/04/2019 09:46:00 PM,002XX E HURON ST,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,,1834,018
11791320,JC384407,08/08/2019 01:08:00 AM,027XX N MARSHFIELD AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,1931,019
11786391,JC382159,08/07/2019 12:00:00 AM,0000X E WACKER DR,1305,CRIMINAL DAMAGE,CRIMINAL DEFACEMENT,COMMERCIAL / BUSINESS OFFICE,0111,001
11787606,JC383673,08/07/2019 12:15:00 PM,005XX N STATE ST,0890,THEFT,FROM BUILDING,COMMERCIAL / BUSINESS OFFICE,1834,018
11790907,JC387963,08/07/2019 10:00:00 PM,030XX W WILSON AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,1724,017
11787593,JC383674,08/07/2019 12:25:00 PM,046XX N Leamington Ave,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,RESIDENCE,1623,016
11792121,JC389373,08/01/2019 05:17:00 PM,054XX W Montrose Ave,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,CTA PLATFORM,1624,016
11786354,JC382165,08/06/2019 05:15:00 PM,006XX N WELLS ST,0870,THEFT,POCKET-PICKING,SMALL RETAIL STORE,1831,018
11784405,JC380665,08/05/2019 03:00:00 PM,0000X W IDA B WELLS DR,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,0121,001
11785188,JC381353,08/05/2019 12:35:00 PM,013XX E 52ND ST,0820,THEFT,$500 AND UNDER,RESIDENTIAL YARD (FRONT/BACK),0234,002
11790909,JC387992,08/03/2019 08:35:00 AM,003XX W ONTARIO ST,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,PARKING LOT/GARAGE(NON.RESID.),1831,018
11786346,JC382323,08/05/2019 01:30:00 PM,001XX N RACINE AVE,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,GAS STATION,1224,012
11786385,JC382063,08/04/2019 09:00:00 PM,003XX E Randolph St,0870,THEFT,POCKET-PICKING,PARK PROPERTY,0114,001
11786371,JC382121,08/04/2019 08:00:00 PM,001XX E ROOSEVELT RD,0870,THEFT,POCKET-PICKING,PARK PROPERTY,0114,001
11786374,JC382074,08/04/2019 09:35:00 AM,003XX S COLUMBUS DR,0870,THEFT,POCKET-PICKING,PARK PROPERTY,0114,001
11785174,JC380717,08/04/2019 10:40:00 PM,003XX N CICERO AVE,0810,THEFT,OVER $500,CTA TRAIN,1532,015
11785132,JC380660,08/03/2019 06:05:00 PM,003XX E RANDOLPH ST,0870,THEFT,POCKET-PICKING,PARK PROPERTY,0114,001
11785180,JC381316,08/03/2019 11:30:00 PM,0000X E HUBBARD ST,0890,THEFT,FROM BUILDING,RESTAURANT,1834,018
11786397,JC382083,08/03/2019 09:30:00 PM,003XX E RANDOLPH ST,0870,THEFT,POCKET-PICKING,PARK PROPERTY,0114,001
11785146,JC381470,08/03/2019 12:45:00 PM,003XX S COLUMBUS DR,0870,THEFT,POCKET-PICKING,PARK PROPERTY,0114,001
11786363,JC382127,08/03/2019 09:44:00 PM,003XX E RANDOLPH ST,0870,THEFT,POCKET-PICKING,PARK PROPERTY,0114,001
11785183,JC381458,08/02/2019 04:30:00 PM,0000X W TERMINAL ST,0810,THEFT,OVER $500,AIRPORT TERMINAL UPPER LEVEL - SECURE AREA,1652,016
11786393,JC382301,08/02/2019 06:20:00 PM,027XX N Clybourn Ave,0810,THEFT,OVER $500,PARKING LOT/GARAGE(NON.RESID.),1931,019
11785140,JC380736,08/02/2019 02:00:00 PM,003XX E RANDOLPH ST,0870,THEFT,POCKET-PICKING,PARK PROPERTY,0114,001
11782619,JC378126,08/02/2019 10:00:00 AM,001XX N CANAL ST,0890,THEFT,FROM BUILDING,COMMERCIAL / BUSINESS OFFICE,0121,001
11783875,JC379160,08/02/2019 01:30:00 PM,082XX S HONORE ST,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,,0614,006
11786379,JC382090,08/02/2019 09:30:00 AM,001XX N Franklin St,0890,THEFT,FROM BUILDING,OTHER,0122,001
11785166,JC381539,08/02/2019 10:30:00 PM,0000X E BALBO AVE,0870,THEFT,POCKET-PICKING,PARK PROPERTY,0123,001
11780292,JC375063,08/01/2019 05:00:00 PM,021XX W CUYLER AVE,0810,THEFT,OVER $500,RESIDENCE-GARAGE,1911,019
11782626,JC378024,08/01/2019 02:15:00 PM,001XX N CLINTON ST,0890,THEFT,FROM BUILDING,RESTAURANT,0121,001
11786367,JC382947,08/01/2019 05:00:00 PM,002XX E JACKSON DR,0870,THEFT,POCKET-PICKING,SIDEWALK,0114,001
11780294,JC375058,08/01/2019 11:00:00 AM,041XX N GREENVIEW AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,OTHER,1912,019
11785189,JC381536,08/01/2019 08:00:00 PM,003XX E RANDOLPH ST,0870,THEFT,POCKET-PICKING,PARK PROPERTY,0114,001
11780289,JC374996,08/01/2019 07:00:00 PM,003XX S COLUMBUS DR,0870,THEFT,POCKET-PICKING,PARK PROPERTY,0114,001
11777638,JC372630,07/31/2019 01:20:00 PM,001XX E IDA B WELLS DR,0820,THEFT,$500 AND UNDER,OTHER,0111,001
11779121,JC373713,07/31/2019 10:00:00 PM,001XX N JEFFERSON ST,0810,THEFT,OVER $500,SIDEWALK,0121,001
11785184,JC381502,07/19/2019 04:32:00 PM,013XX N MOORMAN ST,0820,THEFT,$500 AND UNDER,APARTMENT,1424,014
11785136,JC381312,07/10/2019 04:48:00 PM,013XX N ASHLAND AVE,0860,THEFT,RETAIL THEFT,DEPARTMENT STORE,1433,014
11776746,JC371706,07/30/2019 09:05:00 AM,002XX S FRANKLIN ST,0820,THEFT,$500 AND UNDER,STREET,0122,001
11776754,JC371565,07/30/2019 04:10:00 PM,023XX S KOSTNER AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,,1013,010
11783861,JC379195,07/23/2019 10:05:00 AM,012XX N State Pkwy,1152,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,DRUG STORE,1824,018
11776740,JC370578,07/29/2019 01:05:00 PM,0000X N DEARBORN ST,0870,THEFT,POCKET-PICKING,RESTAURANT,0112,001
11776755,JC370806,07/28/2019 04:30:00 PM,085XX S BUFFALO AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,,0424,004
11775503,JC369168,07/28/2019 01:15:00 AM,059XX N KENNETH AVE,0810,THEFT,OVER $500,RESIDENCE-GARAGE,1711,017
11776717,JC370781,07/28/2019 07:35:00 PM,011XX W TAYLOR ST,0820,THEFT,$500 AND UNDER,RESIDENCE PORCH/HALLWAY,1232,012
11775482,JC369601,07/27/2019 01:35:00 PM,010XX N CLARK ST,0810,THEFT,OVER $500,SIDEWALK,1824,018
11769635,JC362231,07/24/2019 01:43:00 AM,012XX W FRY ST,0820,THEFT,$500 AND UNDER,RESIDENCE PORCH/HALLWAY,1213,012
11780293,JC374843,07/22/2019 12:00:00 PM,0000X N PEORIA ST,0890,THEFT,FROM BUILDING,APARTMENT,1224,012
11775492,JC369267,07/27/2019 12:20:00 AM,001XX W Hubbard st,0870,THEFT,POCKET-PICKING,BAR OR TAVERN,1831,018
11775471,JC369212,07/27/2019 12:01:00 AM,035XX W Belmont Ave,1320,CRIMINAL DAMAGE,TO VEHICLE,DRIVEWAY - RESIDENTIAL,1412,014
11773069,JC366689,07/26/2019 12:55:00 PM,008XX W LAWRENCE AVE,0820,THEFT,$500 AND UNDER,APARTMENT,1914,019
11771990,JC365576,07/26/2019 01:55:00 PM,003XX W ILLINOIS ST,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,RESIDENCE,1831,018
11773078,JC366674,07/26/2019 12:00:00 AM,005XX N Wells St,0890,THEFT,FROM BUILDING,BAR OR TAVERN,1831,018
11779126,JC373406,07/22/2019 06:10:00 AM,013XX S WABASH AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,OTHER,0131,001
11686014,JC261191,05/12/2019 06:50:00 PM,068XX S PAXTON AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,RESIDENTIAL YARD (FRONT/BACK),0331,003
11771989,JC365530,07/25/2019 06:00:00 PM,0000X E CONGRESS PKWY,1305,CRIMINAL DAMAGE,CRIMINAL DEFACEMENT,COLLEGE/UNIVERSITY GROUNDS,0123,001
11775493,JC369297,07/25/2019 09:20:00 AM,006XX W OHIO ST,0810,THEFT,OVER $500,STREET,1214,012
11773070,JC366700,07/25/2019 07:00:00 PM,001XX N WACKER DR,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,OTHER,0122,001
11771969,JC364930,07/24/2019 02:01:00 PM,070XX N ASHLAND BLVD,0890,THEFT,FROM BUILDING,RESIDENTIAL YARD (FRONT/BACK),2423,024
11770764,JC363853,07/24/2019 04:45:00 PM,054XX S Ingleside Ave,0820,THEFT,$500 AND UNDER,APARTMENT,0233,002
11776744,JC371104,07/15/2019 09:00:00 PM,009XX W GORDON TER,0820,THEFT,$500 AND UNDER,STREET,1915,019
11769632,JC362548,07/24/2019 06:00:00 AM,054XX S KIMBARK AVE,0820,THEFT,$500 AND UNDER,RESIDENTIAL YARD (FRONT/BACK),0234,002
11776729,JC371204,07/01/2019 05:00:00 PM,006XX W DIVERSEY PKWY,0890,THEFT,FROM BUILDING,GROCERY FOOD STORE,1935,019
11770787,JC364542,07/24/2019 10:00:00 PM,002XX W ERIE ST,0820,THEFT,$500 AND UNDER,SIDEWALK,1831,018
11769621,JC362539,07/23/2019 07:30:00 PM,007XX N ORLEANS ST,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,RESTAURANT,1831,018
11775507,JC369280,07/19/2019 04:33:00 AM,021XX W LAWRENCE AVE,1305,CRIMINAL DAMAGE,CRIMINAL DEFACEMENT,CONSTRUCTION SITE,2032,020
11769641,JC362583,07/23/2019 03:15:00 PM,029XX N RIDGEWAY AVE,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,,2523,025
11769625,JC362146,07/23/2019 08:30:00 PM,061XX S UNIVERSITY AVE,0820,THEFT,$500 AND UNDER,RESIDENTIAL YARD (FRONT/BACK),0314,003
11769613,JC362137,07/23/2019 08:30:00 PM,0000X E MADISON ST,0810,THEFT,OVER $500,RESTAURANT,0112,001
11775496,JC369597,07/23/2019 06:05:00 PM,009XX W ROSCOE ST,0820,THEFT,$500 AND UNDER,RESIDENCE-GARAGE,1924,019
11775488,JC369107,06/26/2019 08:15:00 PM,049XX N KEDZIE AVE,0820,THEFT,$500 AND UNDER,APARTMENT,1713,017
11775472,JC369293,06/20/2019 10:00:00 AM,001XX W POLK ST,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,OTHER,0123,001
11769620,JC362436,07/23/2019 12:40:00 PM,009XX W RANDOLPH ST,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,STREET,1224,012
11767913,JC360821,07/23/2019 07:15:00 AM,0000X E IDA B WELLS DR,0890,THEFT,FROM BUILDING,OTHER,0111,001
11768412,JC361443,07/22/2019 08:30:00 PM,030XX W ARMITAGE AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,COMMERCIAL / BUSINESS OFFICE,1421,014
